Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Sun Jul 21 18:09:58 EDT 2019,Dog,Jasmine,Jaz ,5,GoldenRetriever
Sun Jul 21 18:10:00 EDT 2019,Dog,Emma,Puppy,1,ChocolateLabrador
Sun Jul 21 18:10:00 EDT 2019,Dog,Winston,Wintin,4,Wire-hairedmutt
Sun Jul 21 18:10:02 EDT 2019,Dog,Torchenay Be Cool,Max,13,Beagle
Sun Jul 21 18:10:05 EDT 2019,Cat,Petunia Marie,Tooney,7,Domestic Shorthair Tabby
Sun Jul 21 18:10:16 EDT 2019,Dog,Brutus ,Brutus,7,YellowLabradorRetriever
Sun Jul 21 18:10:23 EDT 2019,Cat,Louis,LouLou,4.5,Blackcat
Sun Jul 21 18:10:29 EDT 2019,Cat,Lilah May,Lilah,12,DomesticShorthair-Black
Sun Jul 21 18:10:30 EDT 2019,Dog,Lucu,Puppy,7,BlackLabMix
Sun Jul 21 18:10:32 EDT 2019,Dog,Mosephine,Mo,1,StandardPoodle
Sun Jul 21 18:10:32 EDT 2019,Dog,Abegeweit,Abi (Abby),16,Foxterriermix
Sun Jul 21 18:10:34 EDT 2019,Dog,Kramer,Kray Kray,12,GoldenRetriever
Sun Jul 21 18:10:37 EDT 2019,Bird,Coco Moe,Coco,15,Cockatiel
Sun Jul 21 18:10:41 EDT 2019,Cat,Apollo,Beeper,1,Unknown
Sun Jul 21 18:10:50 EDT 2019,Dog,Rusty,Wusty,5,GoldenLabrador
Sun Jul 21 18:10:51 EDT 2019,Dog,Demi,"Dems, demi dog, the queen",6,Mixed Breeds
Sun Jul 21 18:10:54 EDT 2019,Dog,Alfredog,Alfie,11,Muttmix
Sun Jul 21 18:10:57 EDT 2019,Rabbit,Professor Nibblesworth Bunnypants,Nibbles,6,NetherlandDwarf
Sun Jul 21 18:10:58 EDT 2019,Dog,Shorty Do-Op,Shorty,15,Muttmix
Sun Jul 21 18:11:04 EDT 2019,Dog,Penny,Penny,3,AustralianShepherd
Sun Jul 21 18:11:04 EDT 2019,Dog,Tuxedo,Tux,1.5,Schnauzer
Sun Jul 21 18:11:09 EDT 2019,Dog,Sally,Sally,7,GoldenRetriever
Sun Jul 21 18:11:11 EDT 2019,Dog,Lola,Lola,6,Mixed Breeds
Sun Jul 21 18:11:12 EDT 2019,Cat,Noodle,Noodle,4,Domestic medium hair
Sun Jul 21 18:11:16 EDT 2019,Dog,Gustav,Goober,10,GermanShepherdmix
Sun Jul 21 18:11:19 EDT 2019,Hamster,Charlie,Charlie,1.5,Syrian
Sun Jul 21 18:11:24 EDT 2019,Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
Sun Jul 21 18:11:33 EDT 2019,Dog,Duke,Duke,3,AustralianShepherd
Sun Jul 21 18:11:38 EDT 2019,Dog,Millie,Mills,7,JackRussellTerrier
Sun Jul 21 18:11:39 EDT 2019,Dog,Sir Winston of Weston ,"Winston , Winnie",10,GoldenRetriever
Sun Jul 21 18:11:40 EDT 2019,Cat,Bucky,Bucks,2,NorwegianForestcat
Sun Jul 21 18:11:50 EDT 2019,Dog,Angus OgDog Dogga McDuff,Angus,13,WestHighlandTerrier
Sun Jul 21 18:11:58 EDT 2019,Cat,Spot,Spotty Bear,4,Domesticshorthair
Sun Jul 21 18:12:01 EDT 2019,Cat,Cookie,Cooks,2,Ragdoll
Sun Jul 21 18:12:04 EDT 2019,Dog,Lady,Doofus,6,Labradormix
Sun Jul 21 18:12:06 EDT 2019,Dog,Maggie Peaches,Maggie,13,BichonPoodle
Sun Jul 21 18:12:08 EDT 2019,Cat,Amelia,Amelita,2,Unknown
Sun Jul 21 18:12:13 EDT 2019,Dog,Camembert,Cami,5,BerneseMountainDog
Sun Jul 21 18:12:15 EDT 2019,Dog,Shadow,Shadow,3,Saluki
Sun Jul 21 18:12:20 EDT 2019,Dog,Archer,archer,3,GoldenRetriever
Sun Jul 21 18:12:23 EDT 2019,Dog,Robbie,robz,1.5,Whippet
Sun Jul 21 18:12:28 EDT 2019,Cat,Noah,Noah,2,Unknown
Sun Jul 21 18:12:35 EDT 2019,Others,Penny,Pen,4,Unknown
Sun Jul 21 18:12:46 EDT 2019,Cat,Lovey Cat,Lovey,18,Unknown
Sun Jul 21 18:12:51 EDT 2019,Dog,Roxy,Roxy,8,Pitbull
Sun Jul 21 18:12:54 EDT 2019,Dog,Ashton Sebastian,Ash,9,Pitbull
Sun Jul 21 18:12:54 EDT 2019,Dog,Maximum,Max,10,Puggle
Sun Jul 21 18:12:57 EDT 2019,Dog,Rosalind Pearl,Rosie,5,BorderColliemix
Sun Jul 21 18:12:57 EDT 2019,Rabbit,Lena,Lena,8,dwarfrabbit
Sun Jul 21 18:12:57 EDT 2019,Hamster,Beauxbaton,Beau,2.5,Winterwhite
Sun Jul 21 18:13:08 EDT 2019,Dog,Chyna,Chyna,16,Littleterrierpoodlemix
Sun Jul 21 18:13:35 EDT 2019,Dog,Sadie,Sadie,4,Cockapoo
Sun Jul 21 18:13:42 EDT 2019,Dog,Flynn,Flynn,0.916666667,Corgi
Sun Jul 21 18:13:44 EDT 2019,Cat,Felicity Louise,Flick,4,Domesticshorthair
Sun Jul 21 18:13:46 EDT 2019,Fish,James Pond,James,5,GoldFish
Sun Jul 21 18:13:54 EDT 2019,Cat,Mars,Mars,8,Domesticshorthair
Sun Jul 21 18:14:00 EDT 2019,Dog,Loki,Loki,3,Unknown
Sun Jul 21 18:14:13 EDT 2019,Cat,Millie,Mill,13,Domesticshorthair
Sun Jul 21 18:14:21 EDT 2019,Dog,Trixie,Trix,3,Yorkie
Sun Jul 21 18:14:43 EDT 2019,Dog,Birdy ,Birdy ,4,Pomeranian
Sun Jul 21 18:14:57 EDT 2019,Cat,Charlotte Wallace,Chuck,8,Cat
Sun Jul 21 18:15:06 EDT 2019,Cat,Thumper Dumper Bumble Butt,Thumper,16,Domesticshorthair
Sun Jul 21 18:15:22 EDT 2019,Dog,Vince,Vincie ,11,Yellowlab
Sun Jul 21 18:15:41 EDT 2019,Dog,Cobert ,Cob ,2,Dalmatian
Sun Jul 21 18:15:55 EDT 2019,Fish,Little Prince,LP,2,BettaFish
Sun Jul 21 18:16:02 EDT 2019,Dog,Jack Daniel,Jackie,3,ChocolateLabrador
Sun Jul 21 18:16:05 EDT 2019,Dog,Crinkle,Crinkle,7,Mongrel
Sun Jul 21 18:16:06 EDT 2019,Dog,Maisy Lynn Marie,Mimsy,6,Beaglemix
Sun Jul 21 18:16:07 EDT 2019,Dog,Beemer,Beemo,7,Aussiedoodle
Sun Jul 21 18:16:09 EDT 2019,Rodent,Rosencrantz WGP,Rosie,3,GuineaPig
Sun Jul 21 18:16:10 EDT 2019,Cat,Michelin ,Michelin,14,"Cat,he'sacat,wefoundhimonmydad'stire...Ithinkyoucanguesswhatbrandtiresmydadhad"
Sun Jul 21 18:16:13 EDT 2019,Dog,Mac,Mac,5,Boxermix
Sun Jul 21 18:16:14 EDT 2019,Dog,Maximillion Taxi ,Max,9,Labradormix
Sun Jul 21 18:16:16 EDT 2019,Dog,Krypto,Dinky,6,GoldenRetriever
Sun Jul 21 18:16:23 EDT 2019,Cat,Piper,Pippin,5,Cat
Sun Jul 21 18:16:26 EDT 2019,Dog,Bo Jangles,Bo,0.791666667,Huskymix
Sun Jul 21 18:16:26 EDT 2019,Cat,Slinkey,Slonk,5,Unknown
Sun Jul 21 18:16:39 EDT 2019,Dog,Brixton,Brixie ,1,GoldenRetriever
Sun Jul 21 18:16:42 EDT 2019,Dog,Jasper,Jasper,10,Miniaturelabradoodle
Sun Jul 21 18:16:42 EDT 2019,Cat,Tabitha,Tabber,8,Unknown
Sun Jul 21 18:16:58 EDT 2019,Dog,Shadow Montgomery,Lovebug,2,GoldenRetriever
Sun Jul 21 18:17:03 EDT 2019,Fish,Vitale Male the hot tamale who has a cooking show with Mario Batale ,Vitale,1,BettaFish
Sun Jul 21 18:17:04 EDT 2019,Cat,Ramona,Meemo,4,Unknown
Sun Jul 21 18:17:11 EDT 2019,Dog,Scout,Scout,14,Beagle
Sun Jul 21 18:17:18 EDT 2019,Cat,Cocoa,"Cokes, Nuts, Cocoa",12,Tuxedoshorthair
Sun Jul 21 18:17:18 EDT 2019,Cat,Napoleon,Deviled egg,2,Unknown
Sun Jul 21 18:17:20 EDT 2019,Dog,Libby,Libby,12,GoldenRetriever
Sun Jul 21 18:17:22 EDT 2019,Dog,Jasper Tucker Oaf,Jasper,11,BlackLabMix
Sun Jul 21 18:17:24 EDT 2019,Cat,Clarissa Fluffnugget,Clary,2,DomesticLonghair
Sun Jul 21 18:17:24 EDT 2019,Dog,Tazmanian Devik,Taz,9,Muttmix
Sun Jul 21 18:17:33 EDT 2019,Dog,Iggy Pup,Iggy,0.333333333,Miniaturedoubledoodle
Sun Jul 21 18:17:36 EDT 2019,Dog,Lilly,Lilly,12,LabradorRetriever
Sun Jul 21 18:17:39 EDT 2019,Dog,Furrdinand ,Furrdie ,10,Pomeranian
Sun Jul 21 18:17:43 EDT 2019,Dog,Monster Mayhem,Doodle,8,Dachshund
Sun Jul 21 18:17:46 EDT 2019,Dog,Watson,Watson ,6,LabradorRetriever
Sun Jul 21 18:17:47 EDT 2019,Dog,Shine,Shine,12,Houndmix
Sun Jul 21 18:17:52 EDT 2019,Dog,Freeney Schnurpel,Freenster,13,ShihTzu
Sun Jul 21 18:18:04 EDT 2019,Dog,Bella Jean,Bella,Deceased,Chihuahuamix
Sun Jul 21 18:18:08 EDT 2019,Dog,Ratchet,Ratchie,5,Pugmix
Sun Jul 21 18:18:10 EDT 2019,Dog,Clifford,Clifford,4,Clumberspaniel
Sun Jul 21 18:18:15 EDT 2019,Dog,Goose,Gooby,1,RatTerrierMix
Sun Jul 21 18:18:23 EDT 2019,Cat,Cricket,"Crickby, Cringus, Don Crickles, etc.",7.5,DomesticLonghair
Sun Jul 21 18:18:23 EDT 2019,Dog,Magnus,Munchkin,7,CarinTerrier
Sun Jul 21 18:18:24 EDT 2019,Cat,Baby Kitty,Baby Kitty,7,Kittycat
Sun Jul 21 18:18:25 EDT 2019,Dog,Shiloh’s Dixie Skye,Dixie,8,Schnauzer
Sun Jul 21 18:18:29 EDT 2019,Dog,Bootsie,BootsToots,17,Trrriermixed
Sun Jul 21 18:18:29 EDT 2019,Cat,Bowie,Kitty boy ,0.666666667,Tuxedo cat
Sun Jul 21 18:18:34 EDT 2019,Dog,Mindy ,Mindy,10,BlackLabMix
Sun Jul 21 18:18:42 EDT 2019,Dog,Spock,Spock,7,Mixed Breeds
Sun Jul 21 18:18:44 EDT 2019,Dog,Merlin,Mer-dog,12,Chesapeakebayretriever
Sun Jul 21 18:18:50 EDT 2019,Dog,Sylvia Plath,Sylvia,3,GermanShorthairedPointer
Sun Jul 21 18:18:51 EDT 2019,Dog,Smokey Neyland,Smo ,9,Schnoodle
Sun Jul 21 18:18:51 EDT 2019,Dog,Rufus Tee Hilderbrec,Rufus,11,ShihTzu
Sun Jul 21 18:18:51 EDT 2019,Dog,Baillie,B or B-Dog,7,BorderCollie
Sun Jul 21 18:18:53 EDT 2019,Dog,Sebastian,Bash,0.333333333,Maltipoo
Sun Jul 21 18:18:56 EDT 2019,Cat,Mika Joe,Mika,9,Siamese
Sun Jul 21 18:19:09 EDT 2019,Dog,Tess,Tess,13,BorderColliemix
Sun Jul 21 18:19:15 EDT 2019,Dog,Zorro,Z,8,Long-hairedChihuahua
Sun Jul 21 18:19:17 EDT 2019,Dog,Deacon ,Deac ,11,Chesapeakebayretriever
Sun Jul 21 18:19:35 EDT 2019,Cat,Sir charles chickenhock chaplin the teleporting dot,Charlie,11,Unknown
Sun Jul 21 18:19:38 EDT 2019,Cat,Ally,Al,4,Cat
Sun Jul 21 18:19:40 EDT 2019,Rabbit,Gandalf,Gandalf,10,Lionhead
Sun Jul 21 18:19:40 EDT 2019,Cat,Lucas Adam Wilkins,Luke,10,Tabby
Sun Jul 21 18:19:54 EDT 2019,Dog,Robert Ferguson Mooney,Bobby,6,GoldenRetriever
Sun Jul 21 18:19:57 EDT 2019,Dog,James buchanan barnes,Bucky,2,Unknown
Sun Jul 21 18:20:04 EDT 2019,Dog,Buddy Boy,Buddy,16,CockerSpaniel
Sun Jul 21 18:20:17 EDT 2019,Cat,Cleo,Dump,2,Cat
Sun Jul 21 18:20:26 EDT 2019,Dog,Belle Watling,Belle,2,Maltese
Sun Jul 21 18:20:32 EDT 2019,Dog,Magladon wagladon,Maggie,1,OldEnglishsheepdog
Sun Jul 21 18:20:37 EDT 2019,Dog,Bella,Bella,14,Unknown
Sun Jul 21 18:20:41 EDT 2019,Horse,Half pint,Half pint ,6,Unknown
Sun Jul 21 18:20:42 EDT 2019,Cat,Leah Suji Wilkins,The Squeak aka Squeakerfish,10,Tabby
Sun Jul 21 18:20:53 EDT 2019,Dog,Sophie,Sophie,11,GoldenRetriever
Sun Jul 21 18:20:55 EDT 2019,Cat,Mitsy,Mitsy,4,Unknown
Sun Jul 21 18:20:57 EDT 2019,Dog,Stewart Little,Stewie,16,Pomeranian
Sun Jul 21 18:20:59 EDT 2019,Dog,Sadie,Sadie,0.916666667,GoldenRetriever
Sun Jul 21 18:21:00 EDT 2019,Dog,Ashley Wilkes,Ash,11,Yorkie Mix
Sun Jul 21 18:21:03 EDT 2019,Cow,Daisy the cow,Daisy,3,Unknown
Sun Jul 21 18:21:07 EDT 2019,Dog,Oliver Jospeh Andrew,Oliver,11.5,GoldenRetrievermix
Sun Jul 21 18:21:14 EDT 2019,Dog,Rhett,Rhetters,12,EnglishSpringerSpaniel
Sun Jul 21 18:21:15 EDT 2019,Cat,Emma May Wilkins,Emma,4,Tortie
Sun Jul 21 18:21:21 EDT 2019,Cat,Hashtag Anamara Mainecoon,Hashtag,6,MaineCoon
Sun Jul 21 18:21:22 EDT 2019,Fish,Caroline Gravel,Gravel,2,BettaFish
Sun Jul 21 18:21:22 EDT 2019,Dog,Lily,Lil,5,GoldenRetriever
Sun Jul 21 18:21:27 EDT 2019,Cat,Arthur Fonzarelli,Fonzie ,12,PartMainecoon
Sun Jul 21 18:21:29 EDT 2019,Cat,Vriska Serket,Vriska,8,Domesticshorthair
Sun Jul 21 18:21:31 EDT 2019,Cat,Fabio ,Fabio,3,Unknown
Sun Jul 21 18:21:34 EDT 2019,Dog,Cookie,CookieMonster,8,ShihTzu
Sun Jul 21 18:21:36 EDT 2019,Dog,Brutus ,Brutus,10,GreatPyreneesmix
Sun Jul 21 18:21:40 EDT 2019,Dog,Ralph ,Ralph ,0.333333333,GoldenRetriever
Sun Jul 21 18:21:43 EDT 2019,Dog,Kurt,Kurtis,2,Blackmouthcur
Sun Jul 21 18:21:45 EDT 2019,Dog,Lyra Cristina,Lyra,0,Mixed Breeds
Sun Jul 21 18:21:51 EDT 2019,Dog,Bailey bear,Baby Girl,6,Labradormix
Sun Jul 21 18:21:53 EDT 2019,Dog,Brooklyn,Brooklyn,2,Beagle
Sun Jul 21 18:21:55 EDT 2019,Cat,Isabella,Izzy,11,Tortoiseshell
Sun Jul 21 18:21:57 EDT 2019,Dog,Champion Craig,Champ,14,Beaglemix
Sun Jul 21 18:21:59 EDT 2019,Cat,Kelly,Kelly,13,Unknown
Sun Jul 21 18:22:02 EDT 2019,Dog,Lennox,Lenny,4,ShihTzu
Sun Jul 21 18:22:10 EDT 2019,Dog,Sullivan Otis,Sulley ,10,CatahoulaLeopard
Sun Jul 21 18:22:11 EDT 2019,Cat,oreo vanilla cookie ,nene,11,Unknown
Sun Jul 21 18:22:13 EDT 2019,Cat,Chessie ,Chess,12,Siamese
Sun Jul 21 18:22:18 EDT 2019,Dog,Hank,Hanky panky,1,Blackmouthcur
Sun Jul 21 18:22:20 EDT 2019,Dog,Allie Nichols,Allie,5,Muttmix
Sun Jul 21 18:22:21 EDT 2019,Dog,Lila,Lila,5,Newfoundland
Sun Jul 21 18:22:25 EDT 2019,Cat,Bubbles,Bubs,11,Chartreux
Sun Jul 21 18:22:27 EDT 2019,Dog,Liberty Louise,Libby,9,EnglishSpringerSpaniel
Sun Jul 21 18:22:29 EDT 2019,Cat,Sushi Charrito,Sush,2,Tuxedo cat
Sun Jul 21 18:22:31 EDT 2019,Cat,Mouse,MousePotato,3,Unknown
Sun Jul 21 18:22:32 EDT 2019,Cat,Kate,Katie,19,Tortie/Tortishell
Sun Jul 21 18:22:34 EDT 2019,Dog,Jimmy,JimmyJamSunshineMan,5,ShihTzu
Sun Jul 21 18:22:38 EDT 2019,Dog,Rocky,Rocko,9,Rottweiler
Sun Jul 21 18:22:46 EDT 2019,Dog,Sheldon Michael ,Shel,7,Westin/minpin
Sun Jul 21 18:22:47 EDT 2019,Dog,Jackson,Pupper,3,AustralianCattleDog
Sun Jul 21 18:22:51 EDT 2019,Cat,Midnight,Keek,19,Americanshorthair
Sun Jul 21 18:22:53 EDT 2019,Dog,Maxwell Amos,Max,10,CatahoulaLeopard
Sun Jul 21 18:22:59 EDT 2019,Cat,angelina ,whitey,5,Unknown
Sun Jul 21 18:23:01 EDT 2019,Dog,Margaret Lewis,Maggie,11,Muttmix
Sun Jul 21 18:23:02 EDT 2019,Dog,Ginger,Geeper Creeper,10,GoldenRetrievermix
Sun Jul 21 18:23:02 EDT 2019,Others,Johannes venereal Versmear,Venny,0.038461538,Unknown
Sun Jul 21 18:23:02 EDT 2019,Dog,Gator,Tate ,8,RottweilerMix
Sun Jul 21 18:23:04 EDT 2019,Dog,Badger,Badger,12,Dachshund
Sun Jul 21 18:23:05 EDT 2019,Dog,Beauregard,Beau,22,GoldenRetriever
Sun Jul 21 18:23:05 EDT 2019,Dog,Buffy,Buffy and/or Buffalo,8,Beaglemix
Sun Jul 21 18:23:05 EDT 2019,Dog,duque,duque,1,Mixed Breeds
Sun Jul 21 18:23:05 EDT 2019,Dog,Mika,Mika,5,Husky
Sun Jul 21 18:23:21 EDT 2019,Dog,Scarlett,Little Girl,8,BorderCollie
Sun Jul 21 18:23:21 EDT 2019,Dog,Macy,Macy,11,GoldenRetrievermix
Sun Jul 21 18:23:21 EDT 2019,Dog,Gromit Walker,Gromit,8,GoldenRetriever
Sun Jul 21 18:23:21 EDT 2019,Cat,Ms. Kitty,Ms. Kitty,16,Unknown
Sun Jul 21 18:23:25 EDT 2019,Dog,Gracie Lou Freebush ,Gracie,9,BlackLabMix
Sun Jul 21 18:23:25 EDT 2019,Dog,River,River,0.269230769,Husky
Sun Jul 21 18:23:27 EDT 2019,Ferret,Leo,LeHOE,1,Unknown
Sun Jul 21 18:23:40 EDT 2019,Dog,Olaf,Olaf,4,Chihuahua
Sun Jul 21 18:23:41 EDT 2019,Dog,Button,Buttons (sometimes with a french accent),2,Beagle
Sun Jul 21 18:23:42 EDT 2019,Dog,Stevie James,Steve,9,Maltipoo
Sun Jul 21 18:23:44 EDT 2019,Dog,Mila,Crusty,14,Rottweiler
Sun Jul 21 18:23:45 EDT 2019,Dog,Murphy,Murph,5,GoldenRetriever
Sun Jul 21 18:23:46 EDT 2019,Cat,Tiger ,tiggy,5,Unknown
Sun Jul 21 18:23:46 EDT 2019,Cat,Edna Lou,Breadna,5,Unknown
